Breed,Age,Height,Weight,Character Traits,Health_Problems
Greyhound,12,28,18.9,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Australian Shepherd,14,21.5,16.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,15,14,15.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bull Terrier,12,21,31.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
French Bulldog,12,12,27.2,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Saint Bernard,10,28,25.8,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Newfoundland,11,27,25.7,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Cocker Spaniel,15,14.5,21.4,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
West Highland White Terrier,16,12,12.9,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Cocker Spaniel,15,14.5,28.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Siberian Husky,15,22.5,11.1,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Chinese Crested,15.5,13,20.2,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Poodle,15,15,37.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Australian Stumpy Tail Cattle Dog,14,18.5,12.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Standard Schnauzer,15,19,24.8,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Gordon Setter,15,25,21.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Cocker Spaniel,15,14.5,19.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Coton de Tulear,14,11,15.9,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Vizsla,14,22,19.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bichon Frise,15,11,21.5,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Scottish Deerhound,10,30,28.4,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,12,28.5,23.8,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Scottish Deerhound,10,30,23.4,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
English Toy Spaniel,14,12,16.6,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Cocker Spaniel,15,14.5,36.9,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
German Shepherd,10,24,18.8,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Irish Setter,15,26,29.5,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
French Bulldog,12,12,10,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Welsh Terrier,15,12,15.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Corgi,15,12,36.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Boston Terrier,13,16,24.9,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Scottish Deerhound,10,30,2,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Pug,15,14,32.3,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Scottish Deerhound,10,30,22.1,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Pharaoh Hound,14,23,8.5,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Wolfhound,10,32.5,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Giant Schnauzer,12,26.5,41.1,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Whippet,15,20,10.3,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Papillon,15,11,20.8,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Saluki,14,25.5,16.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Toy Poodle,15,11,32.7,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Poodle,15,15,16.3,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Greyhound,12,28,11.7,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Pekingese,15,9,23.3,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Cocker Spaniel,15,14.5,16.9,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Toy Poodle,15,11,18.8,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Kerry Blue Terrier,14,18,8.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saint Bernard,10,28,35.9,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Shar Pei,12,19,33.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Poodle,15,15,28.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Australian Cattle Dog,16,18.5,18,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Xoloitzcuintli,15,14,8.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,14,26,25.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bloodhound,12,24.5,14.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,27.1,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Gordon Setter,15,25,37.3,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Miniature Poodle,15,15,22.1,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Shar Pei,12,19,27.7,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Newfoundland,11,27,13.1,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Anatolian Shepherd,14,28,25.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Setter,14,26,31.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,14,18,33.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Doberman Pinscher,12,26,30.7,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Africanis,15,23.5,18.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Field Spaniel,14,16.5,22.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Africanis,15,23.5,8.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,14,18.5,27.3,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Boxer,12,23,17.3,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Cardigan Welsh Corgi,14,12,10.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,38.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,24.2,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Poodle,15,15,11.8,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Vizsla,14,22,28.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Boxer,12,23,16,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
German Shepherd,10,24,18.7,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Boston Terrier,13,16,11.3,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Pomeranian,16,7,27.1,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Irish Setter,14,27,24,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Toy Poodle,15,11,15.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Belgian Malinois,14,24,18.6,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Kuvasz,12,27,25.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Toy Poodle,15,11,47.4,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Flat-Coated Retriever,14,23.5,24.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,12,26.5,13.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Papillon,15,11,3,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Golden Retriever,14,22.5,17.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,15,12,15.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pointer,15,24,26.3,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Great Pyrenees,12,28.5,12.2,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Basenji,15,16.5,16.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,28.7,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Belgian Malinois,14,24,21.6,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Rottweiler,10,24.5,23.8,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Belgian Malinois,14,24,32.8,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
German Shepherd,10,24,20.3,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Greyhound,12,28,21.8,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Saluki,14,25.5,18.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Terrier,14,15,35.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,15,20.5,24.4,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Dachshund,15,9,35.5,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Pomeranian,16,7,6.2,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Chinese Crested,15.5,13,26.6,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Border Terrier,16,16,20.5,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Doberman Pinscher,12,26,24.5,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Jack Russell Terrier,15,12,25.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Old English Sheepdog,12,24,33.7,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Italian Greyhound,15,14,17.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Boxer,12,23,21.5,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,12,22.5,10.3,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Giant Schnauzer,12,26.5,22.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Scottish Deerhound,10,30,4.7,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
French Bulldog,12,12,22.7,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Golden Retriever,14,22.5,22.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,15,25,12.7,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Welsh Corgi,15,12,17.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bichon Frise,15,11,14.6,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
French Bulldog,12,12,20.3,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pharaoh Hound,14,23,20.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pekingese,15,9,27.7,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Cocker Spaniel,15,14.5,10.2,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Welsh Corgi,15,12,10.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
American Bulldog,12,24,26.6,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Scottish Deerhound,10,30,27.2,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
English Springer Spaniel,14,22,20.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pug,15,14,17.3,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Great Pyrenees,12,28.5,17.6,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Toy Poodle,15,11,24.4,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Welsh Corgi,15,12,22.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,12,26.5,19.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Greyhound,12,28,8.6,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Bichon Frise,15,11,17.1,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Pug,15,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Staffordshire Bull Terrier,14,15,41.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,14,12,21.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Mastiff,10,32,22.5,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Standard Poodle,15,18.5,33.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Belgian Malinois,14,24,13.8,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Doberman Pinscher,12,26,3.1,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Standard Poodle,15,18.5,26.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Pekingese,15,9,35.4,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Old English Sheepdog,12,24,16.9,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Great Pyrenees,12,28.5,13.7,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Great Pyrenees,12,28.5,31.5,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Miniature Pinscher,14,12,22.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,14.3,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Pomeranian,16,7,27.2,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Basset Hound,12,15,28.5,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Belgian Tervuren,14,24,7.3,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Golden Retriever,12,22.5,14.1,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Maltese,15,10,29.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Brussels Griffon,15,10,20.1,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Cocker Spaniel,15,14.5,14.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,14,28,20.1,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,14,23.5,36,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Golden Retriever,14,22.5,29,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pekingese,15,9,7,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Japanese Chin,15,11,10.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bull Terrier,12,21,18.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Setter,15,25,29.4,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Standard Poodle,15,18.5,13.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Cocker Spaniel,15,14.5,15.7,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Kerry Blue Terrier,14,18,28.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,15,14.5,16,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Weimaraner,12,27,18.2,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Australian Cattle Dog,16,18.5,15.2,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Old English Sheepdog,12,24,9.8,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Greyhound,12,28,20.2,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Miniature Schnauzer,15,14,28.2,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
American Bulldog,12,24,22.3,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Saint Bernard,10,28,29.7,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
American Bulldog,12,24,23.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Boston Terrier,13,16,36,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
West Highland White Terrier,15,12,29,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,50,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Welsh Terrier,15,12,17.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Papillon,15,11,32.6,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Boxer,12,23,8.8,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,12,22.5,17.7,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Cocker Spaniel,15,14.5,17.6,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Shih Tzu,16,10,15.5,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Standard Poodle,15,18.5,14.8,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,15,14,11,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Shar Pei,15,19,34,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Great Dane,16,31,16.2,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Welsh Corgi,14,12,6.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Standard Schnauzer,12,19,31.5,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Australian Stumpy Tail Cattle Dog,14,18.5,7.3,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Whippet,16,20,37.5,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Scottish Deerhound,10,30,24.9,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Flat-Coated Retriever,15,23.5,32.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,16,25,22.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Welsh Corgi,15,12,34.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Newfoundland,16,27,35.6,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Giant Schnauzer,12,26.5,26.4,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Belgian Tervuren,14,24,15.8,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Shih Tzu,15,10,26,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
English Setter,15,25,27.4,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Belgian Tervuren,15,24,27.8,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,15,26,20.5,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Old English Sheepdog,14,24,-1.6,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Affenpinscher,15,11,13.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Great Pyrenees,15,28.5,9,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Kuvasz,15,27,10.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Irish Wolfhound,15,32.5,16,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Toy Spaniel,16,12,24.8,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pointer,14,24,32.7,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
German Shepherd,12,24,43.3,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Affenpinscher,14,11,15.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Shih Tzu,16,10,46.2,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Greyhound,10,28,10.3,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Standard Schnauzer,15,19,45.4,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Irish Setter,16,27,23.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Scottish Deerhound,15,30,1.9,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Bloodhound,16,24.5,25.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Great Pyrenees,12,28.5,13,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Cairn Terrier,14,12,20.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Shar Pei,15,19,25.2,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Shar Pei,15,19,24.5,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Great Dane,15,31,37.3,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
French Bulldog,15,26.5,18,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Basset Hound,14,11,16.2,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Greyhound,15,22.5,14,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Beagle,15,15,22,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Australian Shepherd,15,12,26.7,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Shar Pei,15,14,16.8,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Affenpinscher,15,24.5,29,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
